transactionID,Duration,Day,Fraud
28891,21.30259992019547,weekend,False
61629,22.93276509166276,weekend,False
53707,32.69499240988683,weekday,False
47812,32.78425168555057,weekend,False
43455,17.75682783902189,weekend,False
21351,21.704516208657665,weekday,False
86349,15.42033113443656,weekend,False
47299,33.245462366625105,weekday,False
90271,27.82703293191345,weekend,False
75021,39.49242768658868,weekend,False
68803,26.795124379542585,weekday,False
37177,14.819588928359652,weekend,False
32532,30.64245683919876,weekday,False
85942,36.347758142202345,weekday,False
44942,24.233477005479784,weekday,False
32057,4.909117064204046,weekday,True
34164,34.815926785256146,weekend,False
23128,11.172374406487119,weekday,False
52744,32.162370211697464,weekday,False
43527,36.592861500016156,weekend,False
41636,37.65998959466693,weekday,False
32535,43.1247438256999,weekday,False
45526,32.389515895471604,weekend,False
83484,31.343696608663002,weekend,False
52072,22.633401986396226,weekend,False
81220,25.39635920414567,weekend,False
68966,35.96697547927625,weekend,False
63725,36.91567538782815,weekend,False
78061,37.44094892202117,weekday,False
41148,31.832173850157915,weekday,False
26744,33.932194662188195,weekday,False
30616,21.657936136882963,weekend,False
68484,31.109253119255268,weekday,False
81131,42.048799248862466,weekend,False
61255,37.909725204574954,weekend,False
55045,36.24214971203579,weekend,False
26818,34.904116721706146,weekend,False
85507,34.49583932290636,weekend,False
56875,14.880982339263833,weekend,False
69169,38.704321193112996,weekend,False
31328,28.27637021610736,weekend,False
49308,31.92967404391583,weekday,False
41074,19.729835255337704,weekend,False
60738,19.73529952165547,weekend,False
65469,25.9192390896747,weekend,False
25708,34.55236441203614,weekday,False
34640,27.687017119364928,weekend,False
59439,23.143413139341693,weekend,False
66626,37.90696209474788,weekend,False
59548,20.62277132672721,weekend,False
45681,25.49937154921276,weekend,False
73569,28.22550585528135,weekday,False
76837,30.92415231399932,weekend,False
73761,14.16362586438791,weekend,False
57100,34.13102101913955,weekday,False
37905,31.93210477618096,weekday,False
49014,28.18829581711157,weekday,False
46482,29.915086240035297,weekend,False
86950,26.829626530602503,weekend,False
90552,29.41719803917905,weekday,False
46594,26.961816571939874,weekday,False
38437,42.167051323108026,weekday,False
43693,33.63209828342576,weekend,False
72303,32.49710220693911,weekday,False
86263,33.45260569265061,weekend,False
92370,44.57469280006789,weekday,False
23541,31.45032362973832,weekend,False
84074,29.207085745385946,weekend,False
20586,33.080665838735364,weekend,False
90052,27.652435803247318,weekend,False
71454,30.56780905915916,weekday,False
71547,37.978058725954405,weekday,False
75803,31.12125830782812,weekday,False
20541,26.427414498614386,weekend,False
70162,37.39081991656638,weekend,False
62964,22.488375089560442,weekday,False
37952,30.235798947841808,weekend,False
79280,36.4024234814365,weekend,False
79010,19.594489828920953,weekend,False
29788,25.880558649336123,weekday,False
33212,3.931616569779853,weekday,True
66921,30.45664738010765,weekday,False
46262,28.218779347644507,weekday,False
75474,24.069936219694068,weekend,False
58800,27.639177020078602,weekend,False
56033,32.034808105943696,weekend,False
54290,34.52309563980704,weekend,False
85975,41.234929918284685,weekend,False
52275,23.119788088329983,weekend,False
64265,37.724556576496845,weekday,False
25592,38.06780925141831,weekend,False
51150,32.58936355278714,weekend,False
34344,20.42969738207978,weekday,False
48079,34.850423514286696,weekday,False
51542,4.9652156355423465,weekend,False
69921,18.74699988683152,weekend,False
29080,28.616251260309202,weekend,False
58215,22.37514892094829,weekday,False
85615,30.95022037843797,weekend,False
37273,14.76655092998854,weekend,False
88502,26.980154330090443,weekend,False
34702,29.855552094085255,weekend,False
75686,31.06745566426646,weekday,False
59255,32.93409772426759,weekend,False
60579,34.2626975428838,weekday,False
92411,33.331440108357135,weekday,False
83209,33.69378779774886,weekend,False
46137,29.636716972381944,weekend,False
40545,33.67916386115425,weekday,False
50097,31.79746786078381,weekday,False
57352,30.089468929590698,weekend,False
44054,30.97785424565024,weekend,False
83101,39.72758302786093,weekday,False
39690,29.712502076323943,weekend,False
90865,30.229875704232988,weekend,False
68497,32.07447386795195,weekday,False
41242,33.90787007303868,weekend,False
50072,31.806252669707288,weekend,False
38642,32.616269376214966,weekend,False
38127,32.59417194155283,weekend,False
88895,33.50798719733313,weekend,False
24688,36.52890926982254,weekend,False
26862,33.415872492074215,weekend,False
78321,23.823203820870003,weekend,False
85201,26.68888110299056,weekend,False
74914,23.39645257737144,weekday,False
42923,32.49660334610892,weekday,False
62026,24.748370178699414,weekday,False
52224,26.511801271402348,weekday,False
59662,29.055246509365826,weekend,False
91621,29.320169976625504,weekday,False
